src,des,value
aegon,jaime,8
luwin,rickon,8
dornish,quentyn,8
daenerys,illyrio,8
ned,theon,8
daenerys,quentyn,8
nute,victarion,8
justin,stannis,8
cressen,davos,8
jaime,tytos,8
shae,tyrion,8
barristan,skahaz,8
margaery,tommen,8
arryn,ned,8
myrcella,tommen,8
balon,victarion,8
rodrik,theon,8
cressen,stannis,8
biter,brienne,8
jon,lysa,8
hyle,podrick,8
catelyn,rickon,7
catelyn,desmond,7
lyanna,robert,7
dickon,sam,7
dornish,gerris,7
edric,stannis,7
arya,lem,7
cletus,quentyn,7
jorah,penny,7
garlan,loras,7
haldon,tyrion,7
daenerys,gerris,7
loras,renly,7
brynden,jaime,7
jaime,walder,7
jon,yoren,7
gendry,lommy,7
illyrio,jorah,7
loras,ned,7
aegon,daenerys,7
jaime,tully,7
godry,jon,7
axell,melisandre,7
jon,tywin,7
big,little,7
osha,rickon,7
arstan,belwas,7
biter,jaqen,7
ramsay,stannis,7
thistle,varamyr,7
aerys,ned,7
alleras,sam,7
ben,brown,7
jaime,myrcella,7
jojen,jon,7
asha,godry,7
addam,tywin,7
osfryd,osney,7
emmon,genna,7
jorah,xaro,7
edmure,jaime,7
daven,jaime,7
mance,stannis,7
aegon,jorah,7
shagga,timett,7
grenn,halder,7
mace,tywin,7
arianne,quentyn,7
cersei,loras,7
dywen,grenn,7
mord,tyrion,7
asha,black,7
brienne,illifer,7
pycelle,qyburn,7
aeron,gorold,7
catelyn,roose,7
balon,euron,7
luwin,osha,7
cersei,merryweather,7
florian,jonquil,7
cortnay,davos,7
genna,jaime,7
salladhor,stannis,7
sansa,varys,7
davos,imry,7
ned,petyr,7
pycelle,tywin,7
ned,vayon,7
hyle,meribald,7
meribald,septon,7
jon,thoren,7
catelyn,tully,7
davos,pylos,7
melisandre,sam,7
mandon,tyrion,7
brienne,shagwell,7
penny,yezzan,7
bronn,tywin,7
moon,sansa,7
devan,melisandre,7
frey,tywin,6
catelyn,mother,6
barristan,cersei,6
robb,tywin,6
bronn,timett,6
kevan,robert,6
anguy,tom,6
gendry,harwin,6
margaery,megga,6
barristan,jon,6
tormund,ygritte,6
arya,meryn,6
podrick,tyrion,6
anguy,arya,6
lollys,shae,6
shagga,tyrion,6
pycelle,tyrion,6
bronn,tanda,6
arthur,jaime,6
black,davos,6
grey,theon,6
chett,jon,6
myrcella,trystane,6
desmond,utherydes,6
knight,loras,6
loras,stannis,6
catelyn,loras,6
cersei,lancel,6
brienne,stannis,6
amory,arya,6
arya,tickler,6
gregor,tickler,6
ebben,jon,6
jaime,stannis,6
robert,thoros,6
cersei,stannis,6
jorah,qotho,6
jhogo,mirri,6
blackwood,bracken,6
jhogo,rakharo,6
cressen,shireen,6
aegon,stannis,6
aerys,tywin,6
jaime,robin,6
chella,shae,6
clegane,gregor,6
tywin,weese,6
queen,tywin,6
balon,jaime,6
cersei,mace,6
dale,davos,6
osmund,osney,6
aegon,davos,6
frey,jaime,6
gared,waymar,6
jaime,urswyck,6
arryn,jon,6
davos,edric,6
brienne,dontos,6
stannis,val,6
lancel,osmund,6
brienne,randyll,6
gared,royce,6
cersei,taena,6
jaime,jonos,6
daario,jorah,6
robert,taena,6
axell,jon,6
harys,pycelle,6
arryn,robert,6
harys,kevan,6
dick,jon,6
archibald,quentyn,6
meera,sam,6
penny,tyrion,6
haldon,illyrio,6
brandon,jaime,6
barristan,galazza,6
arryn,lysa,6
ben,jon,6
oberyn,tywin,6
pate,rosey,6
hizdahr,khrazz,6
myranda,robert,6
robb,theon,6
haldon,qavo,6
mance,varamyr,6
alliser,janos,6
dick,podrick,6
balman,falyse,6
rhaegar,tywin,6
hizdahr,quentyn,6
dorcas,jocelyn,6
myrcella,sansa,6
jhiqui,missandei,6
mya,myranda,6
alester,davos,6
arya,robert,6
jaime,sandor,6
clegane,thoros,6
podrick,septon,6
hyle,septon,6
ned,stannis,6
braavosi,sam,6
lysa,vardis,5
azor,stannis,5
alleras,mollander,5
mother,robert,5
bonifer,jaime,5
robert,viserys,5
lysa,tyrion,5
chiswyck,weese,5
grey,rickon,5
bronn,lysa,5
allard,davos,5
cressen,patchface,5
brienne,emmon,5
irri,jhogo,5
jojen,rickon,5
jaime,robb,5
sansa,tanda,5
kyra,theon,5
arya,mother,5
davos,renly,5
stannis,theon,5
doran,dornish,5
jhogo,xaro,5
bowen,melisandre,5
kojja,sam,5
amory,vargo,5
drogo,irri,5
emmett,jon,5
lemore,yandry,5
jon,rodrik,5
arthur,gerold,5
gilly,kojja,5
aeron,theon,5
reznak,skahaz,5
arianne,dornish,5
melisandre,patchface,5
gyles,pycelle,5
jaime,pycelle,5
brown,reznak,5
alliser,tyrion,5
lothor,mya,5
barristan,grey,5
margaery,taena,5
eddard,sansa,5
catelyn,cleos,5
ned,tyrion,5
bronn,jacelyn,5
conn,shagga,5
catelyn,petyr,5
doran,quentyn,5
jorah,robert,5
cersei,pycelle,5
doran,myrcella,5
harwin,tom,5
shireen,stannis,5
aeron,dagmer,5
arya,tywin,5
areo,obara,5
arianne,doran,5
fingers,petyr,5
mance,melisandre,5
jorah,pyat,5
arnolf,jon,5
ned,sandor,5
cersei,meryn,5
dontos,moon,5
shae,tysha,5
meryn,robert,5
dagmer,theon,5
jaremy,mormont,5
black,jon,5
arya,denyo,5
mance,sam,5
janos,sam,5
bowen,mormont,5
olenna,sansa,5
robert,theon,5
bronn,oberyn,5
arya,rickon,5
cregan,jon,5
catelyn,cersei,5
jon,tom,5
arya,jaime,5
daenerys,missandei,5
aegon,viserys,5
drogo,illyrio,5
mance,qhorin,5
catelyn,rickard,5
catelyn,masha,5
black,edwyn,5
butterbumps,sansa,5
gendry,ned,5
jeyne,ramsay,5
ned,tomard,5
jojen,sam,5
janos,ned,5
chett,small,5
lark,small,5
brienne,jeyne,5
rickon,sansa,5
kevan,stannis,5
grigg,jarl,5
mace,sansa,5
barristan,steelskin,5
gendry,robert,5
redwyne,rowan,5
catelyn,wendel,5
jon,othor,5
anguy,harwin,5
boros,loras,5
kevan,tommen,5
borroq,jon,5
bracken,jonos,5
roose,tywin,5
elinor,megga,5
loras,mace,5
jarl,styr,5
jon,robb,5
toregg,tormund,5
jon,patrek,5
jon,varamyr,5
brienne,qyburn,5
jaime,meryn,5
edwyn,jaime,5
moqorro,penny,5
bronn,stannis,5
brandon,catelyn,5
jon,squire,5
qhorin,ygritte,5
lysa,ned,5
davos,marya,5
ramsay,skinner,5
boros,jaime,5
arya,shagwell,5
jon,sigorn,5
loras,osmund,5
bastard,jon,5
ned,rodrik,5
brienne,tywin,5
kevan,mace,5
cersei,osfryd,5
dywen,sam,5
davos,garth,5
jaime,mace,5
davos,robett,5
barristan,viserys,5
bronn,shae,5
devan,jon,5
harys,tywin,4
addam,jaime,4
daario,jhogo,4
young,ysilla,4
arya,baelor,4
alayne,mya,4
rowan,theon,4
jaime,sybell,4
timett,tyrion,4
mother,rickon,4
haldon,yandry,4
black,marya,4
osha,rodrik,4
devan,marya,4
chella,shagga,4
edwyn,frey,4
koss,yoren,4
dalla,gilly,4
asha,clayton,4
galbart,roose,4
jon,wick,4
denzo,quentyn,4
maggy,melara,4
aegon,haldon,4
arya,septon,4
big,jon,4
green,hizdahr,4
arya,biter,4
clegane,sansa,4
arron,emrick,4
daenerys,irri,4
barristan,reznak,4
stevron,walder,4
areo,balon,4
aegon,jon,4
jeyne,theon,4
selyse,stannis,4
arya,theon,4
florent,stannis,4
hot,yoren,4
justin,richard,4
melisandre,robert,4
grey,jorah,4
asha,torgon,4
addam,tyrion,4
bronn,mandon,4
holly,rowan,4
illyrio,tywin,4
catelyn,maege,4
drogo,jhogo,4
gerris,meris,4
janos,sansa,4
kyra,ramsay,4
tywin,walder,4
daenerys,reznak,4
illyrio,tyrion,4
asha,robert,4
jon,patchface,4
pylos,stannis,4
jon,tycho,4
blackwood,jaime,4
barristan,xaro,4
mace,margaery,4
davos,queen,4
brella,shae,4
brienne,clegane,4
hosteen,roose,4
lothor,sansa,4
oswell,sansa,4
septon,tywin,4
jaime,moon,4
barristan,jorah,4
axell,queen,4
daario,missandei,4
hodor,sam,4
oberyn,sansa,4
loras,olenna,4
margaery,merryweather,4
frey,ryman,4
qyburn,tywin,4
frey,roose,4
bronn,stokeworth,4
kevan,pycelle,4
cersei,osney,4
jaime,osmund,4
hoster,jon,4
maegor,tommen,4
asha,ned,4
aemon,jaime,4
brienne,grey,4
cersei,osmund,4
bryen,petyr,4
qhorin,stonesnake,4
ebben,qhorin,4
jon,mully,4
gregor,red,4
jon,weeper,4
clegane,tickler,4
sam,septon,4
roslin,walder,4
meera,old,4
dalla,val,4
grazdan,kraznys,4
mace,paxter,4
jack,tom,4
gendry,jack-be-lucky,4
harwin,thoros,4
jaime,shagwell,4
baelor,cersei,4
jaime,roose,4
mance,styr,4
jon,orell,4
beric,clegane,4
catelyn,lothar,4
andrew,davos,4
catelyn,marq,4
aerys,rossart,4
anguy,lem,4
elia,rhaegar,4
aegon,elia,4
dornish,oberyn,4
oberyn,tyrion,4
shae,symon,4
aerys,brienne,4
ellaria,oberyn,4
lem,thoros,4
brandon,jon,4
daario,tyroshi,4
craster,mance,4
mance,tormund,4
clegane,oberyn,4
irri,missandei,4
cleon,ghael,4
shagwell,timeon,4
dalla,sam,4
jon,ulmer,4
arya,yorko,4
barristan,rhaegar,4
craster,grenn,4
ottyn,sam,4
harlaw,rodrik,4
alyn,hyle,4
brandon,meera,4
balon,doran,4
orton,taena,4
ralf,victarion,4
jaime,podrick,4
stannis,varys,4
lollys,tyrion,4
arya,gregor,4
garin,myrcella,4
arya,umma,4
arya,waif,4
rodrik,roose,4
bronn,chataya,4
estermont,robert,4
jaime,taena,4
amory,yoren,4
brienne,meribald,4
jaime,wylis,4
balon,robert,4
edric,robert,4
jaime,mariya,4
narbert,podrick,4
jaime,senelle,4
obara,tyene,4
mormont,qhorin,4
rainbow,stannis,4
daario,irri,4
davos,florent,4
dalla,mance,4
janos,stannis,4
jon,roose,4
balon,meryn,4
aegon,sansa,4
daenerys,xaro,4
bowen,stannis,4
catelyn,utherydes,4
lothor,petyr,4
edmure,tywin,4
meryn,queen,4
alester,stannis,4
edwyn,ryman,4
jojen,old,4
lysa,marillion,4
alayne,petyr,4
lancel,sansa,4
armen,mollander,4
robert,tommen,4
jaqen,syrio,4
alleras,leo,4
aeron,rus,4
quellon,victarion,4
alayaya,marei,4
alayaya,shae,4
bronn,podrick,4
oberyn,tyene,4
arya,meera,4
elia,oberyn,4
edmure,roslin,4
bronn,jyck,4
bronn,robert,4
ben,jaremy,4
catelyn,stone,4
tyrion,yoren,4
cersei,jon,4
alyn,ned,4
ned,tobho,4
mormont,viserys,4
albett,jon,4
eddard,theon,4
ned,rickon,4
rhaenys,visenya,4
jon,stone,4
pycelle,varys,4
arya,mikken,4
harwin,ned,4
daenerys,rhaegar,4
balon,sansa,4
alyn,harwin,4
clegane,jaime,4
brandon,petyr,4
arya,myrcella,4
rickon,theon,4
renly,varys,4
baelish,ned,4
arya,tommen,4
jhiqui,viserys,4
tywin,varys,4
catelyn,jason,4
grey,osha,4
alliser,sam,4
pycelle,sansa,4
jon,rast,4
robb,sansa,4
doreah,jhiqui,4
brynden,ned,4
jon,pycelle,4
harwin,hullen,4
barristan,sansa,4
pycelle,stannis,4
jaime,mord,4
catelyn,hallis,4
royce,will,4
alliser,mormont,4
aegon,tyrion,4
cohollo,jorah,4
baelor,sansa,4
arryn,catelyn,4
gregor,sandor,4
robert,sandor,4
catelyn,vardis,4
gregor,loras,4
brandon,old,4
jon,tommen,4
barristan,varys,4
mycah,sansa,4
jaime,jon,4
gregor,sansa,4
catelyn,marillion,4
boros,cersei,4
benjen,yoren,4
edmure,hoster,3
roose,sansa,3
jeyne,jon,3
amerei,darry,3
davos,marlon,3
amerei,jaime,3
qyburn,steelshanks,3
brynden,hoster,3
jaime,roslin,3
jaqen,roose,3
squirrel,theon,3
davos,red,3
rhaegar,young,3
brandon,rickon,3
mance,val,3
gyles,orton,3
davos,mother,3
lemore,young,3
dacey,maege,3
aeron,grey,3
davos,leona,3
victarion,wulfe,3
jarman,jon,3
bedwyck,giant,3
giant,jon,3
qhorin,sam,3
arya,koss,3
osfryd,sansa,3
margaery,robert,3
lollys,sansa,3
moon,stone,3
falyse,tanda,3
jon,vardis,3
robb,tyrion,3
patchface,queen,3
alys,melisandre,3
meryn,osmund,3
daario,drogo,3
talbert,victarion,3
marq,tywin,3
cersei,rhaegar,3
podrick,sansa,3
tormund,val,3
catelyn,sky,3
jory,robert,3
stannis,tommen,3
marlon,stannis,3
gregor,pycelle,3
janos,tormund,3
catelyn,mychel,3
grey,walder,3
maron,rodrik,3
aerys,stannis,3
halleck,harma,3
hairy,jon,3
harys,merryweather,3
donal,mag,3
davos,matthos,3
holly,jeyne,3
rorge,shagwell,3
sansa,yoren,3
jaime,merrett,3
grey,skahaz,3
falyse,qyburn,3
meryn,tickler,3
dunsen,gregor,3
baelor,septon,3
scar,yezzan,3
euron,moqorro,3
jorah,mero,3
irri,viserys,3
qyburn,taena,3
redwyne,sam,3
kerwin,victarion,3
hizdahr,missandei,3
catelyn,donnel,3
rickon,rodrik,3
petyr,royce,3
dareon,gilly,3
barristan,meryn,3
rickon,walder,3
jaime,mandon,3
daenerys,grey,3
darry,kevan,3
merrett,sumner,3
haldon,young,3
catelyn,mord,3
mollander,roone,3
cressen,selyse,3
alla,megga,3
drogo,rhaego,3
jhiqui,rhaego,3
davos,patchface,3
melisandre,selyse,3
benjen,mormont,3
edmure,ryman,3
gregor,tyrion,3
syrio,yoren,3
mord,tom,3
ned,tom,3
joramun,mance,3
hyle,randyll,3
sansa,tommen,3
daven,emmon,3
aegon,barristan,3
giant,hizdahr,3
cotter,denys,3
frey,grey,3
old,rickon,3
belwas,hizdahr,3
roslin,tully,3
gyles,loras,3
bastard,theon,3
hyle,narbert,3
balon,old,3
jacelyn,janos,3
gendry,syrio,3
belaquo,hizdahr,3
jon,randyll,3
jacelyn,tyrion,3
stannis,ygritte,3
benjen,ned,3
balon,rodrik,3
frenya,jeyne,3
godry,stannis,3
godry,justin,3
bronn,cersei,3
mollono,symon,3
cleos,grey,3
jaime,merryweather,3
meera,osha,3
little,rickon,3
arya,praed,3
chett,mance,3
arya,rorge,3
aemon,clydas,3
cutjack,kurz,3
haldon,ysilla,3
florian,sansa,3
alliser,grenn,3
chett,sweet,3
jon,renly,3
blane,chett,3
catelyn,giant,3
brienne,sandor,3
davos,wylis,3
frey,rodrik,3
aemon,daeron,3
brandon,theon,3
jaime,walton,3
belwas,daenerys,3
penny,sweets,3
jaqen,rorge,3
barbrey,ramsay,3
kevan,sansa,3
garin,spotted,3
spotted,tyene,3
arya,stannis,3
desmond,robin,3
arianne,oberyn,3
moreo,rodrik,3
ramsay,sour,3
amory,meryn,3
gyles,sansa,3
mord,ramsay,3
desmond,sansa,3
asha,dagmer,3
mirri,pyat,3
margaery,queen,3
moreo,tyroshi,3
mormont,robert,3
benfred,theon,3
big,ramsay,3
bronn,preston,3
aeron,benfred,3
brown,jorah,3
robert,vardis,3
chett,craster,3
bronn,tommen,3
chett,lark,3
loras,tommen,3
hugh,ned,3
clegane,mandon,3
brown,jon,3
lancel,tommen,3
richard,stannis,3
barristan,great,3
jhiqui,rakharo,3
arryk,erryk,3
theon,wex,3
alysane,asha,3
grenn,samwell,3
garin,sylva,3
baelor,margaery,3
brandon,robert,3
rorge,zollo,3
ned,raymun,3
durran,elenei,3
tywin,vargo,3
barristan,jhogo,3
brienne,hal,3
emmon,robar,3
myrcella,obara,3
barristan,symon,3
robb,stannis,3
jaime,varys,3
balon,obara,3
olenna,queen,3
daario,jhiqui,3
mord,tywin,3
randyll,sam,3
mathis,stannis,3
dontos,petyr,3
bowen,grenn,3
arryn,jaime,3
brienne,loras,3
roose,vargo,3
mormont,thoren,3
bowen,tormund,3
jojen,osha,3
grey,ned,3
jon,meera,3
petyr,symond,3
margaery,tyrion,3
alerie,margaery,3
robert,sky,3
brynden,hodor,3
leaf,meera,3
mully,satin,3
colemon,robert,3
jaime,tysha,3
jon,joramun,3
jon,rory,3
jon,leathers,3
lyn,robert,3
ellaria,obara,3
arya,beric,3
alayne,robert,3
melara,taena,3
craster,dywen,3
craster,thoren,3
elia,robert,3
jaime,roger,3
caggo,denzo,3
reek,theon,3
hotho,victarion,3
bronn,jaime,3
frey,kevan,3
baelish,petyr,3
cersei,gyles,3
cersei,lysa,3
mord,theon,3
balon,cersei,3
asha,sybelle,3
skinner,theon,3
septon,stannis,3
jaime,josmyn,3
euron,torwold,3
davos,frey,3
hot,weasel,3
jaime,shitmouth,3
nurse,penny,3
mace,renly,3
missandei,viserys,3
asha,lorren,3
luwin,ned,3
desmond,edmure,3
balon,stannis,3
merryweather,septon,3
daario,grey,3
aemon,florian,3
margaery,tallad,3
taena,tommen,3
dagos,oberyn,3
aegon,franklyn,3
catelyn,dacey,3
brown,yezzan,3
brandon,lyanna,3
qhorin,squire,3
dick,quentyn,3
catelyn,old,3
euron,ralf,3
biter,rorge,3
arya,weasel,3
old,sansa,3
caswell,catelyn,3
shae,tanda,3
jeyne,maggy,3
owen,satin,3
dornish,jon,3
catelyn,moreo,3
brienne,ned,3
narbert,queen,3
alfyn,qhorin,3
caswell,renly,3
bowen,janos,3
jon,selyse,3
brienne,brown,3
davos,jon,3
bronn,falyse,3
bartimus,davos,3
balman,bronn,3
cohollo,drogo,3
benjen,robert,3
arryn,pycelle,3
jon,malegorn,3
donal,kegs,3
jon,othell,3
aeron,gylbert,3
jacks,ned,3
alliser,mance,3
asha,hagen,3
amory,tywin,3
asha,grimtongue,3
mikken,theon,3
frey,robb,3
grenn,satin,3
arya,sam,3
cersei,myrcella,3
bronn,varys,3
cromm,qarl,3
benerro,tyrion,3
alys,arnolf,3
darry,robert,3
doreah,drogo,3
mace,robert,3
amory,gregor,3
brienne,rosby,3
benjen,jaremy,3
jarl,ygritte,3
aemon,dalla,3
brown,tyrion,3
margaery,willas,3
sansa,willas,3
bronn,kevan,3
shagga,stone,3
brienne,robert,3
harry,robert,3
jaime,mormont,3
haldon,harry,3
harys,taena,3
braavosi,stannis,3
cayn,ned,3
mace,rowan,3
forley,jaime,3
aegon,aemon,3
aegon,black,3
mormont,tyrion,3
brienne,hibald,3
danwell,walder,3
lysa,tywin,3
mycah,sandor,3
merrett,walder,3
lollys,tywin,3
kevan,willem,3
petyr,varys,3
catelyn,stevron,3
jyck,morrec,3
jaime,jeyne,3
galbart,glover,3
harma,mance,3
dareon,lanna,3
kevan,tytos,3
aurane,rhaegar,3
hop-robin,jon,3
husband,lem,3
arya,sharna,3
merryweather,orton,3
mikken,septon,3
catelyn,robin,3
jaremy,jon,3
jason,tytos,3
mother,sansa,3
cleon,hizdahr,3
aegon,torrhen,3
jeyne,sybell,3
nymeria,tyene,3
dornish,mace,3
kevan,sandor,3
jyck,rodrik,3
sansa,satin,3
grey,stalwart,3
jon,mag,3
nymeria,obara,3
qotho,quaro,3
cersei,olenna,3
jaime,melara,3
illyrio,jaime,3
manfrey,ricasso,3
orell,ygritte,3
lyonel,petyr,3
beric,thoros,3
frey,genna,3
jorah,tyroshi,3
bannen,craster,3
clubfoot,craster,3
alayne,sansa,3
craster,giant,3
qyburn,rugen,3
gretchel,maddy,3
ned,roose,3
aerys,cersei,3
catelyn,galbart,3
jon,moon,3
catelyn,wylis,3
arianne,balon,3
garlan,willas,3
quaro,rakharo,3
lysa,myranda,3
doreah,jorah,3
gyles,qyburn,3
qyburn,vargo,3
balon,loras,3
hodor,luwin,3
jon,rhaegar,3
jack-be-lucky,lem,3
hodor,mikken,3
errok,grigg,3
arianne,obara,3
cedra,garin,3
baelor,jaime,3
brienne,vargo,3
craster,garth,3
brienne,goodwin,3
brynden,tywin,3
lothor,robert,3
cersei,petyr,3
brienne,thoros,3
thoros,tom,3
jaime,tarth,3
black,sam,3
brienne,rorge,3
sandor,thoros,3
catelyn,gregor,3
janos,pycelle,3
brynden,emmon,3
brienne,urswyck,3
elia,gregor,3
colemon,petyr,3
dirk,ollo,3
dolf,shagga,3
craster,dirk,3
edmure,jason,3
maddy,robert,3
anguy,thoros,3
arstan,jhogo,3
jafer,othor,3
aegon,tywin,3
dirk,sam,3
azor,melisandre,3
bronn,shagga,3
axell,porridge,3
aerys,jon,3
jaime,mother,3
margaery,qyburn,3
renly,robar,3
gormond,gorold,3
gendry,lem,3
jorah,rakharo,3
dalla,tormund,3
mance,rattleshirt,3
leo,mollander,3
kedry,quentyn,3
aeron,gormond,3
arya,fat,3
joanna,kevan,3
dornish,jaime,3
elia,jaime,3
brusco,talea,3
aegon,illyrio,3
dermot,jaime,3
barristan,gerris,3
myrcella,tyrion,3
jon,kedge,3
grey,jon,3
maegor,ned,3
catelyn,tytos,3
aeron,quellon,3
cletus,gerris,3
aegon,varys,3
loras,robert,3
arya,robb,3
guyard,renly,2
hallis,theon,2
davos,glover,2
lancel,meryn,2
garrett,jaime,2
tarth,vargo,2
edwyn,walder,2
prendahl,sallor,2
hightower,lynesse,2
harwin,jack,2
queen,renly,2
osney,tommen,2
elys,jon,2
redwyne,tywin,2
alys,elys,2
emmon,frey,2
groleo,irri,2
balon,gregor,2
merryweather,taena,2
arstan,missandei,2
doreah,irri,2
addam,cersei,2
illyrio,robert,2
davos,porridge,2
captain,viserys,2
barristan,ben,2
mother,robb,2
donal,satin,2
